att0,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,class
日出东方_15,0.3673469387755102,0.24489795918367346,0.061224489795918366,0.061224489795918366,0,0,0.875,0.8571428571428571,0.8571428571428571,0.8450704225352113,1.0,0.8093434343434344,0.75,0.7272727272727273,0
日出东方_15,0.32,0.29333333333333333,0.013333333333333334,0.12,0,2,0.8936170212765957,0.8888888888888888,0.8780487804878049,0.8780487804878049,1.0,1.0,1.0,1.0,0
日出东方_15,0.5833333333333334,0.3333333333333333,0.0,0.0,0,0,0.9333333333333333,0.8275862068965517,0.8226744186046512,0.808955223880597,1.0,0.8093434343434344,0.5,0.41935483870967744,0
日出东方_17,0.25,0.2,0.05,0.25,0,0,0.8571428571428571,0.8226744186046512,0.808955223880597,0.808955223880597,1.0,1.0,1.0,1.0,0
日出东方_18,0.25,0.3333333333333333,0.08333333333333333,0.0,0,0,0.8226744186046512,0.808955223880597,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0
日出东方_28,0.15492957746478872,0.04225352112676056,0.0,0.056338028169014086,0,0,0.9047619047619048,0.9047619047619048,0.875,0.8450704225352113,1.0,1.0,1.0,1.0,0
日出东方_28,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0,0,0.8235294117647058,0.8226744186046512,0.808955223880597,0.7065217391304348,0.6666666666666666,0.6666666666666666,0.4473684210526316,0.4473684210526316,0
日出东方_29,0.36363636363636365,0.09090909090909091,0.0,0.18181818181818182,0,0,0.9680851063829787,0.8226744186046512,0.808955223880597,0.25,1.0,1.0,1.0,1.0,0
日出东方_30,0.23958333333333334,0.13541666666666666,0.03125,0.010416666666666666,0,1,0.8888888888888888,0.8226744186046512,0.808955223880597,0.75,1.0,1.0,1.0,1.0,0
日出东方_30,0.125,0.375,0.125,0.0,0,0,0.8226744186046512,0.808955223880597,0.6785714285714286,0.6206896551724138,0.6,0.5,0.5,0.42857142857142855,0
日出东方_31,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.17647058823529413,0,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8226744186046512,1.0,1.0,1.0,1.0,0
日出东方_32,0.37209302325581395,0.09302325581395349,0.046511627906976744,0.023255813953488372,0,1,0.9,0.8226744186046512,0.808955223880597,0.7065217391304348,1.0,1.0,1.0,1.0,0
日出东方_32,0.3504273504273504,0.10256410256410256,0.02564102564102564,0.017094017094017096,0,0,0.8226744186046512,0.808955223880597,0.6785714285714286,0.6785714285714286,1.0,1.0,1.0,1.0,0
日出东方_32,0.2833333333333333,0.11666666666666667,0.016666666666666666,0.05,0,1,0.8226744186046512,0.808955223880597,0.7065217391304348,0.7065217391304348,1.0,1.0,1.0,1.0,0
日出东方_32,0.6363636363636364,0.09090909090909091,0.0,0.0,0,0,0.8226744186046512,0.808955223880597,0.7065217391304348,0.7065217391304348,1.0,1.0,1.0,1.0,0
日出东方_32,0.6363636363636364,0.09090909090909091,0.0,0.0,0,0,0.8226744186046512,0.808955223880597,0.7065217391304348,0.7065217391304348,1.0,1.0,1.0,1.0,0
日出东方_33,0.1927710843373494,0.07228915662650602,0.03614457831325301,0.1927710843373494,0,0,0.8226744186046512,0.808955223880597,0.7272727272727273,0.7142857142857143,1.0,1.0,1.0,1.0,0
日出东方_33,0.3058823529411765,0.12941176470588237,0.023529411764705882,0.058823529411764705,0,1,0.875,0.875,0.8226744186046512,0.808955223880597,1.0,1.0,1.0,1.0,0
日出东方_33,0.35294117647058826,0.058823529411764705,0.0,0.23529411764705882,0,0,0.8226744186046512,0.808955223880597,0.7142857142857143,0.7065217391304348,1.0,1.0,1.0,1.0,0
日出东方_25,0.35294117647058826,0.17647058823529413,0.0,0.11764705882352941,0,0,1.0,1.0,0.8235294117647058,0.8226744186046512,1.0,0.4473684210526316,0.4473684210526316,0.191044776119403,1
日出东方_25,0.36764705882352944,0.20588235294117646,0.058823529411764705,0.07352941176470588,0,1,1.0,1.0,1.0,1.0,1.0,0.8093434343434344,0.5,0.5,1
日出东方_25,0.391304347826087,0.13043478260869565,0.043478260869565216,0.0,0,1,1.0,0.9090909090909091,0.8226744186046512,0.808955223880597,0.5,0.45454545454545453,0.45454545454545453,0.3333333333333333,1
日出东方_25,0.3055555555555556,0.25,0.0,0.25,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8093434343434344,1
日出东方_25,0.375,0.20833333333333334,0.0,0.08333333333333333,0,1,1.0,1.0,1.0,1.0,0.23076923076923078,0.2,0.2,0.191044776119403,1
日出东方_25,0.21739130434782608,0.2608695652173913,0.043478260869565216,0.043478260869565216,0,0,1.0,1.0,1.0,1.0,1.0,0.29347826086956524,0.2,0.191044776119403,1
日出东方_25,0.47058823529411764,0.17647058823529413,0.08823529411764706,0.014705882352941176,0,3,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.42857142857142855,1
日出东方_25,0.32,0.28,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,1
日出东方_25,0.39285714285714285,0.17857142857142858,0.03571428571428571,0.0,0,3,1.0,1.0,1.0,1.0,0.5,0.45454545454545453,0.45454545454545453,0.3333333333333333,1
日出东方_25,0.225,0.3,0.0,0.0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.4,1
日出东方_25,0.6363636363636364,0.13636363636363635,0.045454545454545456,0.0,0,0,1.0,1.0,1.0,0.9090909090909091,1.0,0.3333333333333333,0.3333333333333333,0.191044776119403,1
日出东方_25,0.4594594594594595,0.24324324324324326,0.02702702702702703,0.0,0,1,1.0,1.0,1.0,1.0,0.3793103448275862,0.3,0.25,0.2,1
日出东方_25,0.3076923076923077,0.3076923076923077,0.0,0.0,0,0,1.0,1.0,0.9090909090909091,0.8450704225352113,0.4,0.191044776119403,0.17732558139534885,0.15492957746478872,1
日出东方_25,0.43478260869565216,0.2608695652173913,0.08695652173913043,0.043478260869565216,0,1,1.0,1.0,1.0,1.0,0.3333333333333333,0.29347826086956524,0.29347826086956524,0.25,1
日出东方_25,0.35,0.3,0.1,0.05,0,1,1.0,1.0,1.0,0.8226744186046512,0.3333333333333333,0.25,0.191044776119403,0.191044776119403,1
